employee_id;nationality_group;native_language;is_expat_migrant;relocated_for_job;department;job_level;salary;hire_date;last_promotion_date;performance_rating;manager_id;team_size;inclusion_score;belonging_index;manager_inclusion_score;attrition;voluntary_exit;exit_reason
E0001;Lusophone Europe;Portuguese;0;0;Research & Development;1;29589;03/08/2022;;3;M038;9;372;338;347;0;;
E0002;Central Europe;Czech;1;1;Operations;1;27755;15/10/2016;;3;M010;6;367;361;328;1;10;Inclusion Issues
E0003;Lusophone Europe;Portuguese;0;0;Operations;1;30837;19/11/2015;;4;M040;8;281;227;374;1;10;Better Opportunity
E0004;Lusophone Americas;Portuguese;1;1;Research & Development;2;31111;31/08/2022;;4;M011;11;33;294;31;0;;
E0005;Other;Mandarin;1;1;Human Resources;1;21962;01/01/2018;13/08/2023;5;M046;8;289;3;394;1;10;Inclusion Issues
E0006;Lusophone Europe;Portuguese;0;0;Finance;2;42535;20/07/2016;;2;M004;4;302;284;364;0;;
E0007;Lusophone Europe;Portuguese;0;0;Finance;2;42296;17/02/2015;;2;M035;7;355;288;332;1;0;Restructuring
E0008;Other;Mandarin;1;1;IT;1;24523;18/09/2016;;2;M050;11;303;314;307;0;;
E0009;Lusophone Americas;Portuguese;0;0;Sales;1;24683;12/05/2021;;2;M032;4;411;364;392;0;;
E0010;Lusophone Americas;Portuguese;0;0;Operations;3;51107;30/12/2022;31/07/2025;3;M034;10;402;38;365;0;;
E0011;Lusophone Europe;Portuguese;0;0;Human Resources;1;28881;26/07/2017;27/03/2018;4;M005;11;356;372;346;0;;
E0012;Lusophone Europe;Portuguese;0;0;Finance;4;64798;02/02/2016;;3;M027;10;376;346;327;0;;
E0013;Lusophone Europe;Portuguese;0;0;Sales;4;63435;23/02/2017;26/02/2020;2;M012;7;251;242;421;0;;
E0014;Lusophone Americas;Portuguese;0;0;Research & Development;1;26229;25/05/2017;;5;M011;9;391;387;341;0;;
E0015;Southern Europe;Italian;1;0;Operations;3;44299;10/06/2017;;3;M035;3;3;258;289;0;;
E0016;Lusophone Americas;Portuguese;0;0;Human Resources;3;50935;21/08/2017;;5;M037;6;32;279;333;1;10;Lack of Growth
E0017;Francophone Europe;French;1;1;Research & Development;1;25533;16/02/2020;31/10/2024;5;M001;10;273;215;39;0;;
E0018;Lusophone Americas;Portuguese;0;0;Research & Development;2;32785;03/02/2021;;4;M042;11;386;412;345;0;;
E0019;Central Europe;German;1;0;IT;2;35003;18/01/2023;07/01/2025;3;M017;3;344;33;339;0;;
E0020;Lusophone Europe;Portuguese;1;1;IT;2;31074;01/10/2022;;3;M024;12;324;257;323;1;10;Relocation
E0021;Other;Arabic;0;0;Research & Development;3;48674;19/12/2018;;4;M027;12;305;195;342;0;;
E0022;Lusophone Americas;Portuguese;1;1;Sales;3;47551;30/03/2023;;3;M045;4;35;308;349;0;;
E0023;Francophone Europe;French;1;1;Research & Development;1;24903;15/02/2018;;5;M018;8;288;232;402;0;;
E0024;Lusophone Americas;Portuguese;1;0;Sales;1;23971;27/10/2023;04/01/2026;5;M008;9;313;3;321;1;10;Lack of Growth
E0025;Southern Europe;Greek;0;0;IT;3;47254;02/11/2019;20/01/2024;5;M040;8;317;27;388;0;;
E0026;Francophone Europe;French;1;1;IT;5;95079;26/11/2021;;3;M001;7;285;248;392;0;;
E0027;Central Europe;Polish;1;1;Operations;2;38060;26/11/2016;;3;M043;12;253;283;341;0;;
E0028;Francophone Europe;French;1;0;Operations;4;60183;23/01/2022;;4;M025;10;245;205;357;0;;
E0029;Southern Europe;Spanish;0;0;Research & Development;1;30455;22/10/2020;;3;M008;10;367;359;277;0;;
E0030;Central Europe;Polish;0;0;IT;4;66706;22/02/2021;;2;M031;10;318;285;378;0;;
E0031;Central Europe;Czech;1;1;Finance;1;23801;02/08/2018;;2;M010;6;279;265;352;0;;
E0032;Lusophone Europe;Portuguese;0;0;Finance;2;40460;19/10/2022;04/06/2025;3;M023;7;4;361;242;0;;
E0033;Anglophone Americas;English;1;1;Finance;1;27707;15/07/2019;;4;M009;12;214;176;278;1;10;Inclusion Issues
E0034;Francophone Europe;French;1;1;Sales;2;33253;23/09/2019;04/09/2020;3;M048;11;28;334;38;1;10;Relocation
E0035;Lusophone Americas;Portuguese;0;0;Research & Development;4;67716;04/09/2017;03/12/2021;2;M014;10;323;234;374;0;;
E0036;Lusophone Americas;Portuguese;0;0;Human Resources;2;39396;16/06/2021;;5;M026;6;409;416;375;0;;
E0037;Lusophone Americas;Portuguese;0;0;Operations;4;70478;07/05/2021;;3;M028;8;416;396;392;0;;
E0038;Anglophone Americas;English;0;0;Finance;3;52218;25/03/2023;;4;M040;11;354;325;285;0;;
E0039;Lusophone Europe;Portuguese;0;0;Human Resources;1;27669;01/06/2023;;4;M025;8;446;414;354;0;;
E0040;Anglophone Americas;English;0;0;Operations;5;87263;28/01/2023;;3;M016;10;381;318;294;0;;
E0041;Lusophone Americas;Portuguese;1;1;IT;3;46209;09/10/2019;;3;M023;10;315;31;364;1;10;Inclusion Issues
E0042;Francophone Europe;French;0;0;Sales;3;55630;18/11/2020;;5;M013;7;372;338;371;1;10;Better Opportunity
E0043;Other;Hindi;1;1;Finance;1;21762;14/05/2020;;2;M004;7;328;281;362;1;10;Better Opportunity
E0044;Lusophone Americas;Portuguese;1;1;Operations;3;49486;13/07/2017;;3;M029;7;275;315;223;0;;
E0045;Lusophone Europe;Portuguese;0;0;Research & Development;3;49062;29/11/2015;17/05/2017;3;M011;3;286;286;327;0;;
E0046;Francophone Europe;French;1;1;Sales;3;49129;21/03/2017;;3;M042;5;322;345;289;1;10;Better Opportunity
E0047;Central Europe;Czech;0;0;Finance;1;28389;06/11/2022;;3;M035;10;268;259;403;0;;
E0048;Lusophone Americas;Portuguese;0;0;Operations;3;43257;30/07/2023;;3;M003;5;298;218;353;0;;
E0049;Francophone Europe;French;0;0;Finance;5;90543;31/07/2019;30/10/2023;2;M011;8;3;292;314;0;;
E0050;Lusophone Americas;Portuguese;1;1;Finance;4;55576;31/01/2021;;2;M034;8;277;22;299;0;;
E0051;Lusophone Americas;Portuguese;1;0;Finance;4;54804;24/01/2022;;3;M011;7;26;22;47;0;;
E0052;Lusophone Europe;Portuguese;0;0;Research & Development;2;39975;15/09/2020;;3;M031;10;436;394;403;0;;
E0053;Other;Mandarin;0;0;Sales;3;50780;24/10/2018;;3;M001;7;291;196;276;0;;
E0054;Anglophone Americas;English;1;1;Operations;2;40762;27/10/2022;17/06/2025;3;M050;9;285;312;362;0;;
E0055;Southern Europe;Italian;0;0;IT;5;92995;01/06/2015;27/04/2021;3;M007;10;419;422;368;0;;
E0056;Other;Arabic;1;0;Sales;3;39302;07/09/2018;;4;M025;8;278;199;265;0;;
E0057;Lusophone Europe;Portuguese;0;0;IT;4;78356;17/05/2023;21/02/2024;4;M046;4;278;269;353;0;;
E0058;Francophone Europe;French;1;1;Finance;2;32164;20/11/2015;;3;M044;6;311;234;341;1;10;Lack of Growth
E0059;Central Europe;Polish;0;0;IT;2;33090;16/11/2018;;3;M028;7;289;268;438;1;10;Lack of Growth
E0060;Francophone Europe;French;1;1;Finance;1;26504;09/05/2023;;5;M048;10;32;326;246;0;;
E0061;Francophone Europe;French;1;1;Sales;3;49404;14/07/2016;;5;M042;3;3;305;269;1;10;Inclusion Issues
E0062;Lusophone Americas;Portuguese;0;0;Sales;2;39264;04/11/2016;16/12/2021;5;M019;8;311;293;287;1;0;Performance
E0063;Central Europe;Czech;0;0;Operations;2;39431;27/02/2015;05/05/2016;3;M044;7;25;192;362;1;10;Inclusion Issues
E0064;Lusophone Europe;Portuguese;0;0;IT;4;76877;22/05/2018;;2;M003;3;341;293;395;1;0;Performance
E0065;Lusophone Europe;Portuguese;0;0;IT;1;27428;10/02/2016;;4;M018;3;337;281;305;0;;
E0066;Other;Hindi;1;0;Sales;1;25972;06/02/2020;12/10/2021;4;M039;3;287;288;354;0;;
E0067;Southern Europe;Spanish;1;1;Research & Development;3;45728;07/09/2023;05/11/2025;1;M010;5;213;176;417;1;10;Inclusion Issues
E0068;Lusophone Europe;Portuguese;1;1;IT;2;31189;11/01/2020;;3;M007;10;384;261;337;1;0;Contract End
E0069;Lusophone Europe;Portuguese;0;0;Human Resources;1;27858;04/07/2019;;2;M046;10;368;338;326;0;;
E0070;Lusophone Europe;Portuguese;0;0;Operations;2;37577;15/10/2021;;4;M008;11;338;3;306;0;;
E0071;Francophone Europe;French;0;0;Finance;2;32934;15/10/2019;16/09/2021;3;M010;10;436;419;359;0;;
E0072;Southern Europe;Greek;1;0;Operations;2;32961;18/06/2022;;3;M047;3;312;327;327;0;;
E0073;Lusophone Europe;Portuguese;1;1;Human Resources;2;32534;15/02/2018;;4;M036;12;266;207;453;0;;
E0074;Francophone Europe;French;1;1;Sales;2;30717;16/05/2022;;2;M041;3;339;341;374;0;;
E0075;Lusophone Europe;Portuguese;0;0;IT;2;42025;08/09/2021;22/06/2022;2;M049;12;37;337;291;0;;
E0076;Anglophone Americas;English;0;0;Human Resources;2;35140;09/08/2022;;3;M043;7;368;365;354;0;;
E0077;Lusophone Americas;Portuguese;0;0;Research & Development;3;46409;06/05/2016;09/01/2021;3;M009;9;315;278;271;0;;
E0078;Anglophone Americas;English;1;1;Human Resources;4;68628;16/12/2022;;3;M026;3;293;285;334;0;;
E0079;Lusophone Europe;Portuguese;1;1;Research & Development;2;31903;24/06/2018;;3;M050;5;383;368;308;0;;
E0080;Anglophone Americas;English;1;1;Research & Development;1;27884;05/11/2015;01/09/2020;4;M030;12;314;285;286;0;;
